"juaari_id","date","bet_id","match_id","delta_winnings_this_game","accumulated_winnings"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-22 14:00:00+00","9cc465cd-f213-49ab-afcc-e90427c9b377","fec43c72-9ad4-4938-8191-d4eb843a5bf5","-5.00","-5.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-23 10:00:00+00","9ce1d700-a090-401c-9c3c-70a7b81fb4a7","0167a147-70bb-4f4c-9cc8-0a62b354d96d","9.00","4.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-23 14:00:00+00","3cce43e6-2ed9-4361-9382-8c679782e224","9a00522b-c485-439e-b54d-64893f6304a7","-5.00","-1.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-24 14:00:00+00","a36679de-77b8-4336-8e7d-49407d3cc1b2","27dbe00f-8c65-4a10-9077-6976f6389444","-5.00","-6.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-25 14:00:00+00","30495c4c-1de4-4b47-9f11-03e2e5aca74e","1a4c2a67-d8b9-4907-a6ff-e1845abdcdc0","-5.00","-11.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-26 14:00:00+00","36b014b3-ce36-4bd5-b053-55c6c85a11bb","580c5c36-ea8c-430c-8a07-55af92ce25b6","-5.00","-16.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-27 14:00:00+00","1b6fb33f-740c-4ce8-a944-ded3fcc77857","40751ab6-5f44-4964-affe-c85d54a4c09e","-5.00","-21.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-28 14:00:00+00","2120b22f-0427-4d48-b8ea-e32350eb3252","54f13b92-1038-432d-8615-a5ca3c41b7f1","-5.00","-26.00"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-29 14:00:00+00","9f00c8c4-5820-47e0-a065-e90df19e4923","ba207c15-2686-49ee-a6a9-a881459dbb2f","18.30","-7.70"
"091e4931-51e7-4e2f-9277-30f34ebf006e","2025-03-30 10:00:00+00","6673e1b8-0b84-4098-954c-997c5bec2685","f73199c1-dac5-4567-b2d4-957b308dc4b4","-5.00","-12.70"
