"id","first_team_id","second_team_id","venue_id","datetime","outcome_winning_team","outcome_total_score","outcome_more_or_less","bet_amount"
"0167a147-70bb-4f4c-9cc8-0a62b354d96d","6c4d7ebd-a3b7-4614-8ace-4a4b9cc4df53","8d96a373-57e9-4b39-a81f-9b2bd9a33134","44fe4eb1-0342-4dc4-8e96-e0f66f83a648","2025-03-23 10:00:00+00","6c4d7ebd-a3b7-4614-8ace-4a4b9cc4df53",,"MORE","5"
"02280e31-6b70-473c-95e0-4e6b02eb4ebb","56b2b5c3-6666-4c02-b436-2d8934f294dd","023f3967-cdc8-409a-ae44-0e98a4381b37","7ac9e82d-7055-4de9-bab8-74f5edb39cf1","2025-05-08 14:00:00+00",,,,"10"
"03e1df00-58c3-4028-b642-0bed1bb11e9b","b1659aec-827c-4c99-b58e-52aa4ebb25b8","09e0b78b-5f75-479e-9f6c-501bac6e726a","64524cec-7f5f-45e0-a082-6425f683ee08","2025-05-14 14:00:00+00",,,,"10"
"10ac0db4-8e7b-4de9-a455-c9fd5bf4f396","b1659aec-827c-4c99-b58e-52aa4ebb25b8","ea73347a-a243-4e3f-829c-06ba382ded12","64524cec-7f5f-45e0-a082-6425f683ee08","2025-05-18 10:00:00+00",,,,"10"
"13c6919f-ce52-4542-ace1-1fe43db54a5e","09e0b78b-5f75-479e-9f6c-501bac6e726a","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a","f5b09172-48f3-43f5-9727-70695a5f1c24","2025-05-09 14:00:00+00",,,,"10"
"14475ca9-3703-4b1c-844f-41c40ec17b6a","8d96a373-57e9-4b39-a81f-9b2bd9a33134","ea73347a-a243-4e3f-829c-06ba382ded12","0eb6630d-3ebf-4b9b-b11c-bcdd43df7157","2025-03-30 14:00:00+00","8d96a373-57e9-4b39-a81f-9b2bd9a33134",,"LESS","5"
"1792ae65-9a0d-4e30-991a-7218f5a21e70","09e0b78b-5f75-479e-9f6c-501bac6e726a","ea73347a-a243-4e3f-829c-06ba382ded12","f5b09172-48f3-43f5-9727-70695a5f1c24","2025-04-14 14:00:00+00",,,,"5"
"1a4c2a67-d8b9-4907-a6ff-e1845abdcdc0","b1659aec-827c-4c99-b58e-52aa4ebb25b8","56b2b5c3-6666-4c02-b436-2d8934f294dd","64524cec-7f5f-45e0-a082-6425f683ee08","2025-03-25 14:00:00+00","56b2b5c3-6666-4c02-b436-2d8934f294dd",,"MORE","5"
"1d3eb8f0-73b0-475d-b479-6869b70d6594","6c4d7ebd-a3b7-4614-8ace-4a4b9cc4df53","56b2b5c3-6666-4c02-b436-2d8934f294dd","44fe4eb1-0342-4dc4-8e96-e0f66f83a648","2025-04-12 14:00:00+00",,,,"5"
"1db4cac6-c2a5-4a9f-93a5-dd64b7e7745c","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a","56b2b5c3-6666-4c02-b436-2d8934f294dd","6a8f82b0-9b42-44f9-b44d-dab75a2ed368","2025-04-18 14:00:00+00",,,,"5"
"220c0176-c631-432a-8a21-810d5673a83c","8d96a373-57e9-4b39-a81f-9b2bd9a33134","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a","dd161096-c397-4e78-8110-f68dd6cc5f15","2025-04-13 10:00:00+00",,,,"5"
"25f85ef3-5756-4ec9-86b6-d63d1a3d8337","023f3967-cdc8-409a-ae44-0e98a4381b37","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a","4e851739-dabd-42f9-aae5-ed24f94c703e","2025-04-27 14:00:00+00",,,,"10"
"27dbe00f-8c65-4a10-9077-6976f6389444","023f3967-cdc8-409a-ae44-0e98a4381b37","09e0b78b-5f75-479e-9f6c-501bac6e726a","91132c0a-bf06-44d6-9380-f2864f950f4d","2025-03-24 14:00:00+00","023f3967-cdc8-409a-ae44-0e98a4381b37",,"MORE","5"
"2a181372-2896-4610-b3f7-26e68e0a7036","023f3967-cdc8-409a-ae44-0e98a4381b37","05ccf6c4-c7bb-486b-9487-28fd17d2dedd","4e851739-dabd-42f9-aae5-ed24f94c703e","2025-04-13 14:00:00+00",,,,"5"
"34e29731-f0b5-46b6-990a-c68324f65d4e","56b2b5c3-6666-4c02-b436-2d8934f294dd","0e15ecb5-26b7-4a23-9103-500f4f88b365","ff760c2d-4e7f-4aad-aa31-6930ce6d87c4","2025-04-15 14:00:00+00",,,,"5"
"3776ec73-f0cf-496a-a50c-9a4e338b773e","8d96a373-57e9-4b39-a81f-9b2bd9a33134","b1659aec-827c-4c99-b58e-52aa4ebb25b8","dd161096-c397-4e78-8110-f68dd6cc5f15","2025-04-28 14:00:00+00",,,,"10"
"3bb98190-6db6-4e53-9b9b-1cf62bafa980","0e15ecb5-26b7-4a23-9103-500f4f88b365","8d96a373-57e9-4b39-a81f-9b2bd9a33134","288c830d-fa4a-478f-ba3f-311d50251c88","2025-05-04 10:00:00+00",,,,"10"
"3d96f86e-856f-4600-9939-61365f02b852","b1659aec-827c-4c99-b58e-52aa4ebb25b8","023f3967-cdc8-409a-ae44-0e98a4381b37","64524cec-7f5f-45e0-a082-6425f683ee08","2025-04-19 10:00:00+00",,,,"5"
"3f68a480-a4b9-405b-89b7-3b499c10db98","09e0b78b-5f75-479e-9f6c-501bac6e726a","56b2b5c3-6666-4c02-b436-2d8934f294dd","f5b09172-48f3-43f5-9727-70695a5f1c24","2025-04-01 14:00:00+00","56b2b5c3-6666-4c02-b436-2d8934f294dd",,"LESS","5"
"40751ab6-5f44-4964-affe-c85d54a4c09e","6c4d7ebd-a3b7-4614-8ace-4a4b9cc4df53","09e0b78b-5f75-479e-9f6c-501bac6e726a","44fe4eb1-0342-4dc4-8e96-e0f66f83a648","2025-03-27 14:00:00+00","09e0b78b-5f75-479e-9f6c-501bac6e726a",,"MORE","5"
"4671729c-5246-474f-96e3-a1619927d868","6c4d7ebd-a3b7-4614-8ace-4a4b9cc4df53","b1659aec-827c-4c99-b58e-52aa4ebb25b8","44fe4eb1-0342-4dc4-8e96-e0f66f83a648","2025-04-06 14:00:00+00",,,,"5"
"516b71e6-f6ff-46bf-96e1-f8f9ebcdc287","05ccf6c4-c7bb-486b-9487-28fd17d2dedd","b1659aec-827c-4c99-b58e-52aa4ebb25b8","67c9ea53-b791-477c-abea-90eac8c4a20a","2025-05-06 14:00:00+00",,,,"10"
"53edd08d-002d-49b5-8c42-bd5ff6685f48","56b2b5c3-6666-4c02-b436-2d8934f294dd","ea73347a-a243-4e3f-829c-06ba382ded12","ff760c2d-4e7f-4aad-aa31-6930ce6d87c4","2025-04-08 14:00:00+00",,,,"5"
"54caf06b-e906-4ec2-ad33-2bb3108d1d8d","56b2b5c3-6666-4c02-b436-2d8934f294dd","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a","ff760c2d-4e7f-4aad-aa31-6930ce6d87c4","2025-04-20 10:00:00+00",,,,"10"
"54f13b92-1038-432d-8615-a5ca3c41b7f1","ea73347a-a243-4e3f-829c-06ba382ded12","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a","67585d30-ecae-43d6-9152-32df7dcd061e","2025-03-28 14:00:00+00","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a",,"LESS","5"
"580c5c36-ea8c-430c-8a07-55af92ce25b6","8d96a373-57e9-4b39-a81f-9b2bd9a33134","0e15ecb5-26b7-4a23-9103-500f4f88b365","0eb6630d-3ebf-4b9b-b11c-bcdd43df7157","2025-03-26 14:00:00+00","0e15ecb5-26b7-4a23-9103-500f4f88b365",,"LESS","5"
"5d605b58-89cb-438a-be98-5983e09ed2b5","ea73347a-a243-4e3f-829c-06ba382ded12","023f3967-cdc8-409a-ae44-0e98a4381b37","67585d30-ecae-43d6-9152-32df7dcd061e","2025-04-05 10:00:00+00","023f3967-cdc8-409a-ae44-0e98a4381b37",,"LESS","5"
"5ec21ad1-3302-49d8-bb90-7120f883e588","ea73347a-a243-4e3f-829c-06ba382ded12","56b2b5c3-6666-4c02-b436-2d8934f294dd","67585d30-ecae-43d6-9152-32df7dcd061e","2025-04-30 14:00:00+00",,,,"10"
"69f6c4f3-186b-41ba-8dc2-cb4c5e37c21a","05ccf6c4-c7bb-486b-9487-28fd17d2dedd","09e0b78b-5f75-479e-9f6c-501bac6e726a","67c9ea53-b791-477c-abea-90eac8c4a20a","2025-04-27 10:00:00+00",,,,"10"
"6d8b5720-0ff1-423c-b80d-62c0e2e6d305","9198b9ed-3cfd-41ad-b4fa-dffd5ea9219a","ea73347a-a243-4e3f-829c-06ba382ded12","6a8f82b0-9b42-44f9-b44d-dab75a2ed368","2025-05-03 14:00:00+00",,,,"10"
