"juaari_id","date","bet_id","match_id","delta_winnings_this_game","accumulated_winnings"
"1","2025-03-22 14:00:00+00","3","1","18.30","18.30"
"1","2025-03-23 10:00:00+00","17","2","-5.00","13.30"
"1","2025-03-23 14:00:00+00","31","3","-5.00","8.30"
"1","2025-03-24 14:00:00+00","45","4","-5.00","3.30"
"1","2025-03-25 14:00:00+00","59","5","-5.00","-1.70"
"1","2025-03-26 14:00:00+00","73","6","-5.00","-6.70"
"1","2025-03-27 14:00:00+00","87","7","-5.00","-11.70"
"1","2025-03-28 14:00:00+00","101","8","-5.00","-16.70"
"1","2025-03-29 14:00:00+00","115","9","18.40","1.70"
"1","2025-03-30 10:00:00+00","129","10","-5.00","-3.30"
"1","2025-03-30 14:00:00+00","143","11","12.50","9.20"
"1","2025-03-31 14:00:00+00","157","12","-5.00","4.20"
"1","2025-04-01 14:00:00+00","171","13","-5.00","-0.80"
"1","2025-04-02 14:00:00+00","185","14","-5.00","-5.80"
"1","2025-04-03 14:00:00+00","199","15","-5.00","-10.80"
"1","2025-04-04 14:00:00+00","213","16","-5.00","-15.80"
"1","2025-04-05 10:00:00+00","227","17","-5.00","-20.80"
"2","2025-03-22 14:00:00+00","2","1","-5.00","-5.00"
"2","2025-03-23 10:00:00+00","16","2","-5.00","-10.00"
"2","2025-03-23 14:00:00+00","30","3","-5.00","-15.00"
"2","2025-03-24 14:00:00+00","44","4","-5.00","-20.00"
"2","2025-03-25 14:00:00+00","58","5","-5.00","-25.00"
"2","2025-03-26 14:00:00+00","72","6","-5.00","-30.00"
"2","2025-03-27 14:00:00+00","86","7","-5.00","-35.00"
"2","2025-03-28 14:00:00+00","100","8","-5.00","-40.00"
"2","2025-03-29 14:00:00+00","114","9","18.30","-21.70"
"2","2025-03-30 10:00:00+00","128","10","-5.00","-26.70"
"2","2025-03-30 14:00:00+00","142","11","-5.00","-31.70"
"2","2025-03-31 14:00:00+00","156","12","-5.00","-36.70"
"2","2025-04-01 14:00:00+00","170","13","-5.00","-41.70"
"2","2025-04-02 14:00:00+00","184","14","-5.00","-46.70"
"2","2025-04-03 14:00:00+00","198","15","-5.00","-51.70"
"2","2025-04-04 14:00:00+00","212","16","-5.00","-56.70"
"2","2025-04-05 10:00:00+00","226","17","-5.00","-61.70"
"3","2025-03-22 14:00:00+00","1","1","-5.00","-5.00"
"3","2025-03-23 10:00:00+00","15","2","-5.00","-10.00"
"3","2025-03-23 14:00:00+00","29","3","-5.00","-15.00"
"3","2025-03-24 14:00:00+00","43","4","-5.00","-20.00"
"3","2025-03-25 14:00:00+00","57","5","-5.00","-25.00"
"3","2025-03-26 14:00:00+00","71","6","-5.00","-30.00"
"3","2025-03-27 14:00:00+00","85","7","18.30","-11.70"
"3","2025-03-28 14:00:00+00","99","8","30.00","18.30"
"3","2025-03-29 14:00:00+00","113","9","-5.00","13.30"
"3","2025-03-30 10:00:00+00","127","10","-5.00","8.30"
"3","2025-03-30 14:00:00+00","141","11","-5.00","3.30"
"3","2025-03-31 14:00:00+00","155","12","-5.00","-1.70"
"3","2025-04-01 14:00:00+00","169","13","-5.00","-6.70"
"3","2025-04-02 14:00:00+00","183","14","-5.00","-11.70"
"3","2025-04-03 14:00:00+00","197","15","12.50","0.80"
"3","2025-04-04 14:00:00+00","211","16","-5.00","-4.20"
"3","2025-04-05 10:00:00+00","225","17","-5.00","-9.20"
"4","2025-03-22 14:00:00+00","4","1","-5.00","-5.00"
"4","2025-03-23 10:00:00+00","18","2","-5.00","-10.00"
"4","2025-03-23 14:00:00+00","32","3","-5.00","-15.00"
"4","2025-03-24 14:00:00+00","46","4","9.00","-6.00"
"4","2025-03-25 14:00:00+00","60","5","-5.00","-11.00"
"4","2025-03-26 14:00:00+00","74","6","-5.00","-16.00"
"4","2025-03-27 14:00:00+00","88","7","-5.00","-21.00"
"4","2025-03-28 14:00:00+00","102","8","-5.00","-26.00"
"4","2025-03-29 14:00:00+00","116","9","-5.00","-31.00"
"4","2025-03-30 10:00:00+00","130","10","18.30","-12.70"
"4","2025-03-30 14:00:00+00","144","11","12.50","-0.20"
"4","2025-03-31 14:00:00+00","158","12","-5.00","-5.20"
"4","2025-04-01 14:00:00+00","172","13","-5.00","-10.20"
"4","2025-04-02 14:00:00+00","186","14","-5.00","-15.20"
"4","2025-04-03 14:00:00+00","200","15","-5.00","-20.20"
"4","2025-04-04 14:00:00+00","214","16","-5.00","-25.20"
"4","2025-04-05 10:00:00+00","228","17","-5.00","-30.20"
"5","2025-03-22 14:00:00+00","5","1","-5.00","-5.00"
"5","2025-03-23 10:00:00+00","19","2","-5.00","-10.00"
"5","2025-03-23 14:00:00+00","33","3","-5.00","-15.00"
"5","2025-03-24 14:00:00+00","47","4","-5.00","-20.00"
"5","2025-03-25 14:00:00+00","61","5","-5.00","-25.00"
"5","2025-03-26 14:00:00+00","75","6","-5.00","-30.00"
"5","2025-03-27 14:00:00+00","89","7","-5.00","-35.00"
"5","2025-03-28 14:00:00+00","103","8","-5.00","-40.00"
"5","2025-03-29 14:00:00+00","117","9","-5.00","-45.00"
"5","2025-03-30 10:00:00+00","131","10","-5.00","-50.00"
"5","2025-03-30 14:00:00+00","145","11","-5.00","-55.00"
"5","2025-03-31 14:00:00+00","159","12","12.50","-42.50"
"5","2025-04-01 14:00:00+00","173","13","-5.00","-47.50"
"5","2025-04-02 14:00:00+00","187","14","-5.00","-52.50"
"5","2025-04-03 14:00:00+00","201","15","-5.00","-57.50"
"5","2025-04-04 14:00:00+00","215","16","-5.00","-62.50"
"5","2025-04-05 10:00:00+00","229","17","-5.00","-67.50"
"6","2025-03-22 14:00:00+00","6","1","-5.00","-5.00"
"6","2025-03-23 10:00:00+00","20","2","-5.00","-10.00"
"6","2025-03-23 14:00:00+00","34","3","-5.00","-15.00"
"6","2025-03-24 14:00:00+00","48","4","9.00","-6.00"
"6","2025-03-25 14:00:00+00","62","5","-5.00","-11.00"
"6","2025-03-26 14:00:00+00","76","6","65.00","54.00"
