"date","holder_id"
"2025-03-22 14:00:00+00","1"
"2025-03-23 10:00:00+00","1"
"2025-03-23 14:00:00+00","11"
"2025-03-24 14:00:00+00","8"
"2025-03-25 14:00:00+00","10"
"2025-03-26 14:00:00+00","6"
"2025-03-27 14:00:00+00","6"
"2025-03-28 14:00:00+00","6"
"2025-03-29 14:00:00+00","6"
"2025-03-30 10:00:00+00","6"
"2025-03-30 14:00:00+00","6"
"2025-03-31 14:00:00+00","6"
"2025-04-01 14:00:00+00","6"
"2025-04-02 14:00:00+00","7"
"2025-04-03 14:00:00+00","7"
"2025-04-04 14:00:00+00","7"
"2025-04-05 10:00:00+00","7"
